author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
Twitter,"@ashley_ardinger We shall dub thee: “Meme Master Ashley""",,24/01/2017 00:53,8.23695e+17,en,,,26,5
Twitter,@wakandaho https://t.co/4LYgd60MC6,,24/01/2017 00:13,8.23685e+17,und,,,19,9
Twitter,@ashley_ardinger Meme of the week goes to you. 🏆 https://t.co/gsjBzfDFM8,,24/01/2017 00:12,8.23685e+17,en,,,118,25
Twitter,"@MaggyTheBrave What a time it’s been. Happy 10 year, and here’s to many more! 😍",,24/01/2017 00:10,8.23684e+17,en,,,4,1
Twitter,@itsqueenlena You got a pet giraffe?!,,24/01/2017 00:08,8.23684e+17,en,,,3,0
Twitter,@rizahmmed Or is it... https://t.co/pDBup4kfFS,,23/01/2017 23:50,8.23679e+17,en,,,51,26
Twitter,https://t.co/5lUMHzkIZw,,21/01/2017 22:16,8.22931e+17,und,,,3651,1130
Twitter,"#DayOne traditions continue.

Watch the #Inauguration parade LIVE.
https://t.co/lWghuqKB5t",,20/01/2017 20:47,8.22546e+17,en,,,1055,284
Twitter,"#DayOne begins right now.

The 45th U.S. Presidential #Inauguration is streaming LIVE.

https://t.co/cXqjEOQqZn",,20/01/2017 16:03,8.22475e+17,en,,,1618,811
Twitter,"Today marks #DayOne.

The 45th U.S. Presidential #Inauguration streams LIVE at 11am ET, right here on Twitter.

https://t.co/cXqjEOQqZn",,20/01/2017 14:06,8.22445e+17,en,,,1366,487
Twitter,"@Menley897 Your positivity is contagious, we can’t stop smiling. 🤗",,20/01/2017 02:37,8.22272e+17,en,,,47,9
Twitter,@ZacharyJeans That place looks vaguely familiar. 😉,,20/01/2017 02:36,8.22272e+17,en,,,28,5
Twitter,@martyn2019 https://t.co/Ndfiry23Ti,,20/01/2017 02:35,8.22271e+17,und,,,74,23
Twitter,@danielsing3r Best friends forever. 🙌,,20/01/2017 02:34,8.22271e+17,en,,,32,1
Twitter,@SacramentoKings 10 years of 🔥 #KingsDecade https://t.co/YZGdtpqQO0,,19/01/2017 23:33,8.22226e+17,en,,,106,43
Twitter,"In 2016 we focused on strengthening our foundation of inclusion and made progress that we will continue to build on.
https://t.co/C6u5XVXwPJ",,19/01/2017 17:59,8.22142e+17,en,,,1005,222
Twitter,@NathanZed That's so Nathan 🎶🔮 https://t.co/zV9a8vB8gn,,19/01/2017 02:21,8.21905e+17,en,,,1716,174
Twitter,@SteveCarell https://t.co/bTXndNjfCB,,19/01/2017 00:18,8.21875e+17,und,,,2751,693
Twitter,"@J4CKMULL Rain drop, camp rock.",,18/01/2017 23:59,8.2187e+17,en,,,46,5
Twitter,"@DebraMessing We’ve been waiting 3,898 days for this. https://t.co/SyxIuHCOhI",,18/01/2017 23:54,8.21869e+17,en,,,103,29
Twitter,@shanemartinlark Looks like things are getting pretty serious. 😍,,18/01/2017 23:53,8.21868e+17,en,,,15,3
Twitter,@LouHaigh Enough? There’s no such thing as “enough” dog pics. 🐶,,18/01/2017 23:52,8.21868e+17,en,,,16,3
